index,fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western
11613,titles04/index.html.4791,tt0104070,Der Tod steht ihr gut (1992),der tod steht ihr gut,http://www.imdb.com/title/tt0104070/,6.4,64312.0,6240.0,1992.0,video.movie,4,11,38,163,160,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12627,titles04/index.html.6413,tt0167038,Belles zauberhafte Welt (Video 1998),belles zauberhafte welt video,http://www.imdb.com/title/tt0167038/,5.4,940.0,5520.0,1998.0,video.movie,0,0,18,2,10,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2775,titles03/index.html.2265,tt0104466,Ehemänner und Ehefrauen (1992),ehem nner und ehefrauen,http://www.imdb.com/title/tt0104466/,7.6,16956.0,6480.0,1992.0,video.movie,12,5,11,157,69,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
470,titles02/index.html.1548,tt0086206,Ronde de nuit (1984),ronde de nuit,http://www.imdb.com/title/tt0086206/,4.5,83.0,5700.0,1984.0,video.movie,0,0,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11480,titles04/index.html.4571,tt0100143,Miami Blues (1990),miami blues,http://www.imdb.com/title/tt0100143/,6.4,5096.0,5820.0,1990.0,video.movie,2,1,10,6,51,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6823,titles03/index.html.879,tt0053622,Telefon Butterfield 8 (1960),telefon butterfield,http://www.imdb.com/title/tt0053622/,6.4,3537.0,6540.0,1960.0,video.movie,2,4,25,156,85,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7982,titles04/index.html.11856,tt1319708,Deus Ex: Human Revolution (Video Game 2011),deus ex human revolution video game,http://www.imdb.com/title/tt1319708/,8.7,2663.0,,2011.0,game,0,0,0,0,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10737,titles04/index.html.3328,tt0080301,Verstehen Sie Spaß? (TV Series 1980– ),verstehen sie spa tv series,http://www.imdb.com/title/tt0080301/,5.6,89.0,7200.0,1980.0,video.tv,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2049,titles03/index.html.129,tt0022958,Menschen im Hotel (1932),menschen im hotel,http://www.imdb.com/title/tt0022958/,7.7,10316.0,6720.0,1932.0,video.movie,1,0,26,390,97,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
199,titles01/tt0395169,tt0395169,Hotel Ruanda (2004),hotel ruanda,http://www.imdb.com/title/tt0395169/,8.2,195628.0,7260.0,2004.0,video.movie,14,34,27,461,582,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12267,titles04/index.html.5805,tt0119591,Macbeth (1997),macbeth,http://www.imdb.com/title/tt0119591/,4.8,161.0,7740.0,1997.0,video.movie,0,0,6,2,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12218,titles04/index.html.5715,tt0118789,Buffalo '66 (1998),buffalo,http://www.imdb.com/title/tt0118789/,7.5,31252.0,6600.0,1998.0,video.movie,7,9,25,24,312,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
